B2B	B to B
M.V.P	M V P
O2O	O to O
P2P	P to P
BY2	BY TWO
By2	By Two
10后	一零后
00后	零零后
90后	九零后
80后	八零后
70后	七零后
60后	六零后
50后	五零后
CCTV-	CCTV
BTV-	BTV
SMG-	SMG
JSTV-	JSTV
ZJTV-	ZJTV
GDTV-	GDTV
SCTV-	SCTV
LNTV-	LNTV
TJTV-	TJTV
SDTV-	SDTV
HLJTV-	HLJTV
SXTV-	SXTV
HBTV-	HBTV
HNTV-	HNTV
NXTV-	NXTV
GXTV-	GXTV
NMTV-	NMTV
JLTV-	JLTV
FJTV-	FJTV
CQTV-	CQTV
GZTV-	GZTV
YNSTV-	YNSTV
XJSTV-	XJSTV
QHTV-	QHTV
QTV-	QTV
cctv-	CCTV
btv-	BTV
smg-	SMG
jstv-	JSTV
zjtv-	ZJTV
gdtv-	GDTV
sctv-	SCTV
lntv-	LNTV
tjtv-	TJTV
sdtv-	SDTV
hljtv-	HLJTV
sxtv-	SXTV
hbtv-	HBTV
hntv-	HNTV
nxtv-	NXTV
gxtv-	GXTV
nmtv-	NMTV
jltv-	JLTV
fjtv-	FJTV
cqtv-	CQTV
gztv-	GZTV
ynstv-	YNSTV
xjstv-	XJSTV
qhtv-	QHTV
qtv-	QTV
氢-	氢
氦-	氦
锂-	锂
铍-	铍
硼-	硼
碳-	碳
氮-	氮
氧-	氧
氟-	氟
氖-	氖
钠-	钠
镁-	镁
铝-	铝
硅-	硅
磷-	磷
硫-	硫
氯-	氯
氩-	氩
钾-	钾
钙-	钙
钪-	钪
钛-	钛
钒-	钒
铬-	铬
锰-	锰
铁-	铁
钴-	钴
镍-	镍
铜-	铜
锌-	锌
镓-	镓
锗-	锗
砷-	砷
硒-	硒
溴-	溴
氪-	氪
铷-	铷
锶-	锶
钇-	钇
锆-	锆
铌-	铌
钼-	钼
锝-	锝
钌-	钌
铑-	铑
钯-	钯
银-	银
镉-	镉
铟-	铟
锡-	锡
锑-	锑
碲-	碲
碘-	碘
氙-	氙
铯-	铯
钡-	钡
镧-	镧
铈-	铈
镨-	镨
钕-	钕
钷-	钷
钐-	钐
铕-	铕
钆-	钆
铽-	铽
镝-	镝
钬-	钬
铒-	铒
铥-	铥
镱-	镱
镥-	镥
铪-	铪
钽-	钽
钨-	钨
铼-	铼
锇-	锇
铱-	铱
铂-	铂
金-	金
汞-	汞
铊-	铊
铅-	铅
铋-	铋
钋-	钋
砹-	砹
氡-	氡
钫-	钫
镭-	镭
锕-	锕
钍-	钍
镤-	镤
铀-	铀
镎-	镎
钚-	钚
镅-	镅
锔-	锔
锫-	锫
锎-	锎
锿-	锿
镄-	镄
钔-	钔
锘-	锘
铹-	铹
镆-	镆